rank,tier,title,year,authors,venue,doi,url,cited_by_count,relevance_score,relevance_tags,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,query_sources,abstract
11,landscape; serious_skim; deep_read; hostile_prior,Formulating Dynamic Multi-Rigid-Body Contact Problems with Friction as Solvable Linear Complementarity Problems,1997,M. Anitescu; F. A. Potra,Nonlinear Dynamics,,,0,77.0,hybrid_contact_control,Casts dynamic multi-rigid-body frictional contact as linear complementarity problems.,explicit hybrid mode or complementarity formulation,contact modes are represented finely enough for control; compressed contact variables remain Markov enough for the policy,mode graph; guard surfaces; action constraints,mode compression can hide the active viability cone; downstream repair may be impossible after control-relevant information is discarded,explicit contact modes and complementarity constraints are established,a limit theorem for policies that see only compressed contact state; a repair that changes the compression criterion rather than adding a verifier,curated_seed,Casts dynamic multi-rigid-body frictional contact as linear complementarity problems.
12,landscape; serious_skim; deep_read; hostile_prior,Meniscal tears: The effect of meniscectomy and of repair on intraarticular contact areas and stress in the human knee,1986,Mark E. Baratz; Freddie H. Fu; Richard Mengato,The American Journal of Sports Medicine,https://doi.org/10.1177/036354658601400405,https://doi.org/10.1177/036354658601400405,728,74.888,general_robotics_contact,The role of the meniscus in load transmission across the knee has long been a subject of debate.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,"The role of the meniscus in load transmission across the knee has long been a subject of debate. In this study, we examined the biomechanical consequences of the operative treatments for bucket-handle and pe ripheral meniscal tears. Contact areas and instanta neous intraarticular pressure distributions were meas ured in two groups of human cadaver knees. In Group I, consisting of four knees, we created a bucket-handle tear involving the inner one-third of the meniscus, followed by partial, and then total meniscec tomy. Knees were tested in an Instron testing machine after each procedure, using a 400 pound load at 0 or 30 flexion. Contact areas and local stresses were measured using Prescale, a pressure-sensitive film. After partial meniscectomy, contact areas decreased approximately 10%, and peak local contact stresses (PLCS) increased approximately 65%. After total men iscectomy, contact areas decreased approximately 75%, and PLCS increased approximately 235%. In Group II, consisting of three additional knees, we created a 2 cm peripheral tear of the posterior meniscal horn, followed by open repair, arthroscopic repair, seg mental, and then total meniscectomy. Repair of the tear was accomplished with either vertically placed sutures by an open technique or horizontally placed sutures by an arthroscopic technique. Knees were tested in the neutral position in the Instron machine and contact areas and local stresses measured using Prescale. PLCSs and contact areas were found to be the same using either repair technique. There was, however, a 110% increase in PLCS after segmental meniscectomy of that portion of the meniscus involved in the peripheral tear. These data suggest that the meniscus does have a weightbearing role. Contact stresses increased in pro portion to the amount of meniscus removed and the degree to which the structure of the meniscus was disrupted. Furthermore, there was no difference in the weightbearing characteristics of the meniscus when repaired by open versus arthroscopic technique when the knee is loaded at 0 flexion."
13,landscape; serious_skim; deep_read; hostile_prior,Prevention of noncontact anterior cruciate ligament injuries in soccer players. Part 1: Mechanisms of injury and underlying risk factors,2009,Eduard AlentornGeli; Gregory D. Myer; Holly J. Silvers; Gonzalo Samitier; Daniel Romero; Cristina LazaroHaro; Ramon Cugat,"Knee Surgery, Sports Traumatology, Arthroscopy",https://doi.org/10.1007/s00167-009-0813-1,https://doi.org/10.1007/s00167-009-0813-1,662,73.995,locomotion_contact,"Abstract Soccer is the most commonly played sport in the world, with an estimated 265 million active soccer players by 2006.","robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,"Abstract Soccer is the most commonly played sport in the world, with an estimated 265 million active soccer players by 2006. Inherent to this sport is the higher risk of injury to the anterior cruciate ligament (ACL) relative to other sports. ACL injury causes the most time lost from competition in soccer which has influenced a strong research focus to determine the risk factors for injury. This research emphasis has afforded a rapid influx of literature defining potential modifiable and nonmodifiable risk factors that increase the risk of injury. The purpose of the current review is to sequence the most recent literature that reports potential mechanisms and risk factors for noncontact ACL injury in soccer players. Most ACL tears in soccer players are noncontact in nature. Common playing situations precluding a noncontact ACL injury include: change of direction or cutting maneuvers combined with deceleration, landing from a jump in or near full extension, and pivoting with knee near full extension and a planted foot. The most common noncontact ACL injury mechanism include a deceleration task with high knee internal extension torque (with or without perturbation) combined with dynamic valgus rotation with the body weight shifted over the injured leg and the plantar surface of the foot fixed flat on the playing surface. Potential extrinsic noncontact ACL injury risk factors include: dry weather and surface, and artificial surface instead of natural grass. Commonly purported intrinsic risk factors include: generalized and specific knee joint laxity, small and narrow intercondylar notch width (ratio of notch width to the diameter and cross sectional area of the ACL), preovulatory phase of menstrual cycle in females not using oral contraceptives, decreased relative (to quadriceps) hamstring strength and recruitment, muscular fatigue by altering neuromuscular control, decreased ""core"" strength and proprioception, low trunk, hip, and knee flexion angles, and high dorsiflexion of the ankle when performing sport tasks, lateral trunk displacement and hip adduction combined with increased knee abduction moments (dynamic knee valgus), and increased hip internal rotation and tibial external rotation with or without foot pronation. The identified mechanisms and risk factors for noncontact ACL injuries have been mainly studied in female soccer players; thus, further research in male players is warranted. Noncontact ACL injuries in soccer players likely has a multifactorial etiology. The identification of those athletes at increased risk may be a salient first step before designing and implementing specific preseason and inseason training programs aimed to modify the identified risk factors and to decrease ACL injury rates. Current evidence indicates that this crucial step to prevent ACL injury is the only option to effectively prevent the sequelae of osteoarthritis associated with this traumatic injury."
14,landscape; serious_skim; deep_read; hostile_prior,Discovery of Complex Behaviors Through Contact-Invariant Optimization,2012,I. Mordatch; E. Todorov; Z. Popovic,ACM Transactions on Graphics,,,0,73.0,trajectory_optimization,Finds contact-rich behaviors by optimizing trajectories without committing to a fixed contact sequence.,trajectory optimization through contact constraints,the optimizer sees the constraints that determine feasible actions; compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,optimizing through contact with known variables is established,a repair that changes the compression criterion rather than adding a verifier,curated_seed,Finds contact-rich behaviors by optimizing trajectories without committing to a fixed contact sequence.
15,landscape; serious_skim; deep_read; hostile_prior,"Dimensions of Contact as Predictors of Intergroup Anxiety, Perceived Out-Group Variability, and Out-Group Attitude: An Integrative Model",1993,Mir Rabiul Islam; Miles Hewstone,Personality and Social Psychology Bulletin,https://doi.org/10.1177/0146167293196005,https://doi.org/10.1177/0146167293196005,604,70.608,hybrid_contact_control,"This study tested an integrative model of how dimensions of contact (quantitative, qualitative, and intergroup) are related to intergroup anxiety, perceived out-group variability, and out group attitude.",explicit hybrid mode or complementarity formulation,contact modes are represented finely enough for control; compressed contact variables remain Markov enough for the policy,mode graph; guard surfaces; action constraints,mode compression can hide the active viability cone; downstream repair may be impossible after control-relevant information is discarded,explicit contact modes and complementarity constraints are established,a limit theorem for policies that see only compressed contact state; a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,"This study tested an integrative model of how dimensions of contact (quantitative, qualitative, and intergroup) are related to intergroup anxiety, perceived out-group variability, and out group attitude. Data were collected in a field study of minority (Hindu) and majority (Muslim) religious groups in Bangladesh. Path analysis revealed that dimensions of contact were significant predictors of all three criterion variables, although different dimensions emerged as predictors in each case, and there were some interactions with subjects' religious group. AU three dimensions of contact were associated with intergroup anxiety, but whereas quantitative contact had a significant impact on perceived out-group variability, qualitative contact was associated with out-group attitude. The model highlights the central role of intergroup anxiety as associated with dimensions of contact and as a predictor of perceived out-group variability and out-group attitude."
16,landscape; serious_skim; deep_read; hostile_prior,Silicon heterojunction solar cells with up to 26.81% efficiency achieved by electrically optimized nanocrystalline-silicon hole contact layers,2023,Hao Lin; Miao Yang; Xiaoning Ru; Genshun Wang; Shi Yin; Fuguo Peng; Chengjian Hong; Minghao Qu,Nature Energy,https://doi.org/10.1038/s41560-023-01255-2,https://doi.org/10.1038/s41560-023-01255-2,612,70.378,general_robotics_contact,Abstract Silicon heterojunction (SHJ) solar cells have reached high power conversion efficiency owing to their effective passivating contact structures.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,"Abstract Silicon heterojunction (SHJ) solar cells have reached high power conversion efficiency owing to their effective passivating contact structures. Improvements in the optoelectronic properties of these contacts can enable higher device efficiency, thus further consolidating the commercial potential of SHJ technology. Here we increase the efficiency of back junction SHJ solar cells with improved back contacts consisting of p-type doped nanocrystalline silicon and a transparent conductive oxide with a low sheet resistance. The electrical properties of the hole-selective contact are analysed and compared with a p-type doped amorphous silicon contact. We demonstrate improvement in the charge carrier transport and a low contact resistivity (&lt;5 m cm 2 ). Eventually, we report a series of certified power conversion efficiencies of up to 26.81% and fill factors up to 86.59% on industry-grade silicon wafers (274 cm 2 , M6 size)."
17,landscape; serious_skim; deep_read; hostile_prior,Wearable smart sensor systems integrated on soft contact lenses for wireless ocular diagnostics,2017,Joohee Kim; Minji Kim; Mi-Sun Lee; Kukjoo Kim; Sangyoon Ji; Yun-Tae Kim; Jihun Park; Kyungmin Na,Nature Communications,https://doi.org/10.1038/ncomms14997,https://doi.org/10.1038/ncomms14997,813,69.303,general_robotics_contact,Abstract Wearable contact lenses which can monitor physiological parameters have attracted substantial interests due to the capability of direct detection of biomarkers contained in body fluids.,"robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,"Abstract Wearable contact lenses which can monitor physiological parameters have attracted substantial interests due to the capability of direct detection of biomarkers contained in body fluids. However, previously reported contact lens sensors can only monitor a single analyte at a time. Furthermore, such ocular contact lenses generally obstruct the field of vision of the subject. Here, we developed a multifunctional contact lens sensor that alleviates some of these limitations since it was developed on an actual ocular contact lens. It was also designed to monitor glucose within tears, as well as intraocular pressure using the resistance and capacitance of the electronic device. Furthermore, in-vivo and in-vitro tests using a live rabbit and bovine eyeball demonstrated its reliable operation. Our developed contact lens sensor can measure the glucose level in tear fluid and intraocular pressure simultaneously but yet independently based on different electrical responses."
18,landscape; serious_skim; deep_read; hostile_prior,E-cadherin mediates contact inhibition of proliferation through Hippo signaling-pathway components,2011,Nam-Gyun Kim; Eunjin Koh; Xiao Chen; Barry M. Gumbiner,Proceedings of the National Academy of Sciences,https://doi.org/10.1073/pnas.1103345108,https://doi.org/10.1073/pnas.1103345108,642,68.449,general_robotics_contact,"Contact inhibition of cell growth is essential for embryonic development and maintenance of tissue architecture in adult organisms, and the growth of tumors is characterized by a loss of contact inhibition of proliferation.","robotics model, planner, estimator, or controller",compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,frictional contact manipulation,"Contact inhibition of cell growth is essential for embryonic development and maintenance of tissue architecture in adult organisms, and the growth of tumors is characterized by a loss of contact inhibition of proliferation. The recently identified Hippo signaling pathway has been implicated in contact inhibition of proliferation as well as organ size control. The modulation of the phosphorylation and nuclear localization of Yes-associated protein (YAP) by the highly conserved kinase cascade of the Hippo signaling pathway has been intensively studied. However, cell-surface receptors regulating the Hippo signaling pathway in mammals are not well understood. In this study, we show that Hippo signaling pathway components are required for E-cadherin-dependent contact inhibition of proliferation. Knockdown of the Hippo signaling components or overexpression of YAP inhibits the decrease in cell proliferation caused by E-cadherin homophilic binding at the cell surface, independent of other cell-cell interactions. We also demonstrate that the E-cadherin/catenin complex functions as an upstream regulator of the Hippo signaling pathway in mammalian cells. Expression of E-cadherin in MDA-MB-231 cells restores the density-dependent regulation of YAP nuclear exclusion. Knockdown of -catenin in densely cultured MCF10A cells, which mainly depletes E-cadherin-bound -catenin, induces a decrease in the phosphorylation of S127 residue of YAP and its nuclear accumulation. Moreover, E-cadherin homophilic binding independent of other cell interactions is sufficient to control the subcellular localization of YAP. Therefore, Our results indicate that, in addition to its role in cell-cell adhesion, E-cadherin-mediated cell-cell contact directly regulates the Hippo signaling pathway to control cell proliferation."
19,landscape; serious_skim; deep_read; hostile_prior,Causes and Consequences of Earnings Manipulation: An Analysis of Firms Subject to Enforcement Actions by the SEC*,1996,PATRICIA M. DECHOW; RICHARD G. SLOAN; AMY P. SWEENEY,Contemporary Accounting Research,https://doi.org/10.1111/j.1911-3846.1996.tb00489.x,https://doi.org/10.1111/j.1911-3846.1996.tb00489.x,2839,67.927,contact_rich_manipulation,Abstract.,contact-rich manipulation planner/controller,compressed contact variables remain Markov enough for the policy,robot morphology; environment geometry; controller class,downstream repair may be impossible after control-relevant information is discarded,contact-aware robot control is a crowded area,a repair that changes the compression criterion rather than adding a verifier,contact-rich manipulation robotics,"Abstract. This study investigates firms subject to accounting enforcement actions by the Securities and Exchange Commission for alleged violations of Generally Accepted Accounting Principles. We investigate: (i) the extent to which the alleged earnings manipulations can be explained by extant earnings management hypotheses; (ii) the relation between earnings manipulations and weaknesses in firms' internal governance structures; and (iii) the capital market consequences experienced by firms when the alleged earnings manipulations are made public. We find that an important motivation for earnings manipulation is the desire to attract external financing at low cost. We show that this motivation remains significant after controlling for contracting motives proposed in the academic literature. We also find that firms manipulating earnings are: (i) more likely to have boards of directors dominated by management; (ii) more likely to have a Chief Executive Officer who simultaneously serves as Chairman of the Board; (iii) more likely to have a Chief Executive Officer who is also the firm's founder, (iv) less likely to have an audit committee; and (v) less likely to have an outside blockholder. Finally, we document that firms manipulating earnings experience significant increases in their costs of capital when the manipulations are made public. Resume. Les auteurs analysent les entreprises assujetties aux mesures d'execution prises par la Securities and Exchange Commission dans les cas de presomption de transgression des principes comptables generalement reconnus. Ils s'interessent aux aspects suivants de la question: i) la mesure dans laquelle les presomptions de manipulations des benefices peuvent etre expliquees par les hypotheses existantes de gestion des benefices; ii) la relation entre les manipulations de benefices et les faiblesses des structures de regie interne des entreprises; et iii) la reaction du marche financier a l'endroit des entreprises au sujet desquelles les presomptions de manipulation des benefices sont rendues publiques. Les auteurs constatent qu'un incitatif majeur a la manipulation des benefices est le desir d'obtenir du financement externe a moindre cout. Ils demontrent que cet incitatif demeure important meme apres le controle des motifs contractuels que mettent de l'avant les travaux theoriques. Ils constatent egalement que les entreprises qui manipulent les benefices sont: i) davantage susceptibles d'avoir des conseils d'administration domines par la direction; ii) davantage susceptibles d'avoir un chef de la direction qui joue simultanement le role de president du conseil; iii) davantage susceptibles d'avoir un chef de la direction qui est egalement le fondateur de l'entreprise; iv) moins susceptibles d'avoir un comite de verification; et v) moins susceptibles d'avoir un bloc de titres detenus par un actionnaire exterieur. Enfin, les auteurs etablissent le fait que le cout du capital, pour les entreprises qui manipulent les benefices, enregistre des hausses appreciables lorsque ces manipulations sont rendues publiques."
20,landscape; serious_skim; deep_read; hostile_prior,"Robot Operating System 2: Design, architecture, and uses in the wild",2022,Steven Macenski; Tully Foote; Brian Gerkey; Chris Lalancette; William Woodall,Science Robotics,https://doi.org/10.1126/scirobotics.abm6074,https://doi.org/10.1126/scirobotics.abm6074,1268,67.219,hybrid_contact_control,The next chapter of the robotics revolution is well underway with the deployment of robots for a broad range of commercial use cases.,explicit hybrid mode or complementarity formulation,contact modes are represented finely enough for control; compressed contact variables remain Markov enough for the policy,mode graph; guard surfaces; action constraints,mode compression can hide the active viability cone; downstream repair may be impossible after control-relevant information is discarded,explicit contact modes and complementarity constraints are established,a limit theorem for policies that see only compressed contact state; a repair that changes the compression criterion rather than adding a verifier,contact-rich manipulation robotics,"The next chapter of the robotics revolution is well underway with the deployment of robots for a broad range of commercial use cases. Even in a myriad of applications and environments, there exists a common vocabulary of components that robots share-the need for a modular, scalable, and reliable architecture; sensing; planning; mobility; and autonomy. The Robot Operating System (ROS) was an integral part of the last chapter, demonstrably expediting robotics research with freely available components and a modular framework. However, ROS 1 was not designed with many necessary production-grade features and algorithms. ROS 2 and its related projects have been redesigned from the ground up to meet the challenges set forth by modern robotic systems in new and exploratory domains at all scales. In this Review, we highlight the philosophical and architectural changes of ROS 2 powering this new chapter in the robotics revolution. We also show through case studies the influence ROS 2 and its adoption has had on accelerating real robot systems to reliable deployment in an assortment of challenging environments."
